,,KUNG,,,,,
cows,sə̀mbɔ̀lɔ́,sə̀mbɔ̀lɔ́,mbɔ̀lɔ́sə̂,sə́mbɔ̀lɔ́,mbɔ̀ŋsə̀,sə̀mbɔ̀lɔ́,"sə́mbɔ̀ŋ/ sə̀mbɔ̀lɔ́"
,,,,,,,
Dog,bwʉ̀,əbú,ə̀bû,bú,bʉ́,bʉ́,bʉ́
"Dogs ",sə́bwú,sə́bwú,ùbû,sə̀bʉ́,bʉ́sə̀,sə́bʉ̌,sə́bʉ́
,,,,,,,
"Horse ",kə̀kə̀nyàm,kə́kɛ̀nyàm,"no response",kə́kînyàm,"No response",kə́kênyàm,kə́kínyàm
Horses,úkᴶə̀nyàm,úkᴶə̀nyàm,ùkínyàm,úkínyám,,úkênyàm,ùkínyám
,,,,,,,
"Rat ",kə́fʲʉ̀,kə̀fwɔ́n,fʉ̀lə̀fə̀,fə́fúlə̂,"No response",kə́fɔ́l,kə́fɔ́l
rats,,úfól,fúlúsə́,úfúlû,,úfɔ́l,úfwɔ̀l
,,,,,,,
"Fly ",-ʉ̀kə̀kə̀,ə̀kíkʲə̌,kə̀kʲə̌kʲə̌,ìkìkǐ,fə̀tsə̀tsə̀,kə̀kᴶə̀kᴶə̀,kə̀kᴶə̀kᴶə̀
flies,,útìtᴶə̌,ùkʲə̌kʲə̌,úkikî,,ùkᴶə̀kᴶə̀,ùkᴶə̀kᴶə̀
,,,,,,,
"Cockroach ",áfə́,"No response",kə́fwɔ́m,"No response"," No response",kə́fwóm,kə́fʉ́m
cockroaches,"no response",úfə́m,úfwɔ́m,,,úfwóm,úfʉ́m
,,,,,,,
"Maggot ",kə̀kùs,ə̀ukùs,ɔ̀kɔ̀lɔ̂,ùkùs,"No response",kúkǔs,kɔ̀lə̂
Maggots,úkǔs,úkǔs,ùkɔ̂lə́,úkús,,úkǔs,"sə́kɔ̀lə̂ "
,,,,,,,
"Lizard ","no response","No response",kə̀kɔ̌,"No response","No response",kə́kɔ̀,kə̀kɔ̀i
Lizards,,,kɔ̀isə̀,,,úkɔ̀,úkɔ̀i
,,,,,,,
"Frog ",kə̀tsàtə̀s,mə́kə̀tsàmkə̀s,kə̀tsàmkə̀s,"No response",kèstàmə̀kɔ̀,kə̀tsàm,kètsàmkə̀s
Frogs,kə̀tsàm,,ùtsàmkə̀s,,tsə̀mə̀kɔ̀,kə̀tsàm,ùtsàmkə́s
,,,,,,,
Louse,ʉ̀mkàlàwá,úsɔ̀ŋ,ùsɔ̀ŋ,ʉ̀kàlàŋmwâ,ùsɔ̀ŋ,"No response",kə́sɔ̀ŋ
lice,m̀kàlàmwâ,"no ",ùsɔ̀ŋ,m̀kàlàmwâ,ùsɔ̀ŋ,,úsɔ̀ŋ
,,response,,,,,
,,,,,,,
"Bird ",fɨ́nyə̀n,fɨ́nyə̀m,fɨ́nyəm,fɨ́nə́n,nyǐm,fɨ̀nyə̀m,fɨ̀nyə̌m
"Birds ",m̀nyə̀m,m̀nyə̀m,únyə́m,únə̌n,nyímə,m̀nyə̀m,m̀nyə̌m
,,,,,,,
"Fish ",kə̀mbɔ̀,kə̀mbwɔ̀,kèmbwɔ̌,kə́mbwɔ̌,kə́mbwɔ̌,sə́mbɔ̌,kə́mbwɔ̀’ɔ̀
"Fish ",ùmbwɔ̀’ɔ̀,ùmbwɔ̀’ɔ,úmbwɔ̌,ùmbwɔ̀’ɔ̀,ùmbwɔ̀’ɔ̀,"ùmbɔ̀ ̀ɔ̀",úmbwɔ̀’ɔ̀
,,,,,,,
"Termite ","no response","No response",kísə́,sə́kɨ́lə̌,"No response","No response",sə́kɨ̂
"Termites ",,,sə́kê,zə̀kílɨ̂,,,sə́kɨ̂
,,,,,,,
"Hawk "," kə́ghúm",kə̀ghǔm,"No response",fə̀lə̌n,"No response","No response",fə̀lə̌m
"Hawks ",,,,m̀lə̀n,,,"ǹlə̀m "
,,,,,,,
"Bee ",àsə̀zù,ə̀sə́zú,zù,zɨ̂,zû,zǔ,zǔ
"Bees ","no response","no response",zúsə́,sə́zɨ̂,zûsə́,sə́zú,sə́zú
,,,,,,,
"Cocoyam ",únàŋ,únàŋ,kə́nàŋ,kə́nâŋ,ùnàŋ,kə́naŋ,kénâŋ
"Cocoyams ","no response","no response",nǎŋkə̀,únâŋ,únàŋwə̀,únaŋ,únâŋ
,,,,,,,
"Corn ",àlùsɔ̀,sɨ́sɔ̀f,sə̀f,sə̀f,sə̀k,ísɔ̀f,ísèf
"Corns ",,,sə́sə̌f,sə́sə̀f,sə̀psə̀,sə̀sɔ̀f,sɛ́sə̀f
,,,,,,,
"Meat ",nyàm,ə̀nyàm,nyàm,nyàm,nyɨ̀m,nyàm,nyàm
meats,,,sə́nyâm,sə́nyâm,nyámsə́,sə̀nyàm,sə́nyâm
,,,,,,,
"Potato ",mvə̀tsɨ́,ə̀ndètshí,ndɛ̀tshí,ndə̀tsí,"No response",ndètshí,ndètshí
potatoes,"no response",sə̀ndètshí,ndə̀tshí,sə̀ndètshí,,sə́ndètsí,sə̀ndètshí
,,,,,,,
"Plantain ",ngɔ̀m,kə́fə̌,fə́əfə̀,fə̌kə̀,kə́fə̀’ə̀,kə́fə̌,kə́fə̀’ə
plantains,"no response",úfə̀’ə̀,úfə̀’ə̀,úfə̌kə̀,fwə̌kə̀,"úfə̀ ̀ə̀",úfə̀’ə̀
,,,,,,,
"Garden egg",nyɔ̀’ɔ,kə́nyá’à,nyà’akə̀,kényà’à,nyà’à,"kə́nyá ̀à",nyà’àkə̀
"Garden eggs ","no response",únyá’à,únyá’a,únyà’à,nyɔ̀’ɔ̀,"unyá ̀à",únyá’à
,,,,,,,
,,,,,,,
Groundnut,ʉ̀mtsɔ̀mbí́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́-,ə̀tsɔ̀ŋmbî,tsɔ̀ŋmbì,ə̀ntsɔ̌mbî,ntsɔ̌ŋbí,fə̀tsɔ̌mbî,fɨ̀tsɔ́ŋmbî
Ground,"no response","no response",ùtsɔ̀mbí,ntsɔ̀mbí,mə̀tsɔ̌ŋbí,ǹtsɔ̀mbî,ǹtsɔ̀ŋmbí
nuts,,,,,,,
"Egusi ",ápwɔ́,zə́kaî,ʉ̀bwɔ̂,ábɔ̂,ábɔ̌,íbɔ̂,íbɔ̂
"Egusi ",,,sébɔ̌,úbɔ̂,óbɔ̌,ábɔ̂,ábɔ̂
,,,,,,,
"Yam ","no response","No response","ǹnàŋké ìŋkálì","No response","No response",ílím,kə́zú
,,,ùnàŋə́mə́kálí,,,ə́lɛ́m,úzú
yams,,,,,,,
"Food ",ùfwàziə̂,fwə̀zə̂,úfwázwé,úfwázwé,fwɔ́dzí,úfwɛ́dᴣǔ,fwɔ́dᴣʉ̂
,"no response","no response",,ùfwázwɛ́,,"No response",ùfwádzə̌
,,,"no response",,,,
,,,,,,,
"Huckle berry",úkwû,kwû,kwǔ,úkwû,úkwû,"íkwû    ",úkwû
Huckleberries,"no response","no response",úkwǔ,úkwû,kwǔm,úkwû,kwû
,,,,,,,
,,,,,,,
"Mushroom ",údzǎ,ùdzê,kə́zî,úzâ,"No response",kə́tsél,kə́dzɛ̀
mushrooms,"no response","no response",úzì,úzâ,,útsél,údzɛ̌
,,,,,,,
"Pot ",ùtɔ̀ǐ,ə̀fɨ́tɔǐ,tɔǐ,twɔ̀i,tɔ̀i,tɔ̀i,tɔ̀i
pots,"no response","no response",tɔ̀sə̀,sə̀twɔ̀i,tɔ̀isə̀,sə̀tɔ̀i,sə̀tɔ̀i
,,,,,,,
,,,,,,,
"Salt ",fɨ̀́mbwáŋ,ə̀fɨ́mbwáŋ,mbwáŋ,úgwáŋ,"No response",fɨ́mbáŋ,fɨ̀mbwáŋ
,,,,,,,
"Oil ",ʉ̀mbwə,mvʉ̂m,mvʉ̂,ʉ́mbvʉ̂,mvʉ́m,mvʉ̂,mvʉ̂
,,,,,,,
Orange,ʉ̀mlámás,ʉ̀lámbás,úmâlá,sə̀lámə́s,"No response",fə̀lámâs,fə̀lámàs
"Oranges ",,,ùmálâ,m̀lámə́s,,mlámǎs,m̀lámàs
,,,,,,,
Banana,ŋgɔ́ibàŋíbàŋì,kɨ́fə̌,ŋgɔ̌m,ŋgɔ̀m,kə́fə́ghə́,ígɔ́m,tsúkə́
"Bananas  ",,"no response",ŋgɔ̀msə̂,sə́ŋgɔ̀m,fə́ghə̀wɔ̀,sə̀gɔ̀m,útsú
"Sugar cane",kə́záŋsə́,kə́záŋsə́,úzáŋsə́,kèŋzâ,kézâŋsə́,kə́sáŋsə́,kə̀zǎŋsə̀
"Sugar canes ",úzâŋsə́,úzâŋsə́,záŋsə́sə́,úzâŋsə̂,zǎŋsə̂,úzâŋsə́,úzâŋsə̂
,,,,,,,
"Basket ",akə̀kiə̌,ífʉ̌,ùkʲə̌,kə̀kʲə̌,kʲə̀,ífû,kèkʲə̌
"Baskets ","no response","no response",kʲə̀kə́,úkʲə̌,kʲə̀wɔ̀,sə́fû,ùkʲə̌
,,,,,,,
"Mortal ",ɔ̀ŋgǔ,ɔ̀ŋgù,ŋgù,ŋgù,"No response",ngù,ŋgù
mortals,"no response","no response",ŋgùsə̀,ùŋgù,,sə̀ŋgú,sə́ŋgú
,,,,,,,
"Compound ",kə́bě,kə́bɛ̂,kə́bê,kə́bɛ̀i,kə́bái,kə́bai,kə́bái
"Compounds ","no response","no response",bêsə́,úbɛ́i,bêwə́,úbai,úbài
,,,,,,,
"House ",ndə̂,ndɛ̌,ndɛ̂,ndɛ̌,ndê,ndɛ̌,ndɛ̌
"Houses ",sə́ndɛ̌,sə́ndɛ̌,ndɛ̂sé,sə́ndɛ̂,ndésə́,sə́ndɛ̌,sə́ndɛ̌
,,,,,,,
"Door ",tsɨ̀ndâ,tsɨ́ndɛ̂,tsɨ́ndʲɛ́,útsə̂ndɛ̂,tsɨ̀ndé,"tsɨ́ ndɛ̌",tsɨ̀ndɛ̂
"Doors "," no response","no response",ùtsɨ̀ndɛ̀,útsɨ̀ndɛ̂,tsɨ̂ndéwɔ̀,tsɨ̀tsə̀ndɛ̌,"tsɨ̀ndɛ́sɔ̀ "
,,,,,,,
"Barn ",útɔ̀î,ə̀taî,taî,"No response",taî,útái,útái
"Barns ","no response","no response",táisə́,,táwɔ̀,sə́tai,ǹtái
,,,,,,,
"Ladder ",íkɔ́,kɔ́’ɔ,úkɔ́,úkɔ́,kɔ̀’ɔlə̀,úkɔ́,úkɔ́
"Ladders ","no response",sə́kɔ́,kɔ́sə́,sə́kɔ́,kɔ̀’ɔ̀lə̀wə̀,sə́kɔ́,m̀kɔ́
,,,,,,,
"Mat ",àfɨ́ghàm,ə̀fə́sê,fə́sê,fə́sɛ̌,"No response",fɨ́ghâm,fə́sě
