WORDLISTS,,MUNGBAM,,,,,
Groundnut,kìtsɔ̀ŋbə́,kìtsɔ̀ŋbə́,kìtsɔ̀ŋbə́,bìstɔ́ŋbə́,kìtsɔ̀ŋbə́,kìtsɔ̀ŋbə́
Groundnuts,bìstɔ́ŋbə̀,bìstɔ́ŋbə̀,bìstɔ́ŋbə̀,bìstɔ́ŋbə́bî,bìstɔ́ŋbə̀,bìstɔ́ŋbə̀
Egusi,ntsítwǎ,fìntwǎn,fìntswǎ,íntsɨ̀ntwâ,fìntwǎ,fíntswítswá
Egusi,ántsítwǎ,mùntswán,ántsítwǎ,ìntsɨntwâmɨ́,ántsítwǎ,bíntswítswá
"Food ",bìdzə̀lə́,bìdzə̀lə́,bìdzə̀lə́,bìdzə́tlə̂bǐ,bə̀mʉ̀m,búmɔ̌m
food,"no response","no response","no response","no response",àmʉ́m,búmɔ̌m
"Huckle berry",kǐtám,kǐtám,kǐtám,bǐtám,kǐtám,kǐtám
Huckleberries,bìtámbí,bìtám,bǐtám,bǐtámbî,bǐtám,bǐtám
"Mushroom ","Same as in pidgin English ‘kokombiako’",kítámíyàŋ,kítúŋbə̀,kítámíyàŋ,kítámíyàŋ,kítámíyàŋ
mushrooms,"Same as in pidgin English ‘kokombiako’",bitámíyàŋ,bə̀túŋbə̌,kítúŋbə̀,kítámíyàŋ,bítámíyàŋ
"Pot ",útúŋwú,útsùŋ,fìsàŋ,ùtsùŋ,útsùŋ,útsǔŋ
pots,áǹtsúŋwú,áǹtsúŋ,"no response",ùtsùŋsə́,áǹtsúŋ,ìtsǔŋ
"Salt ",mbɨ́nə́wú,mbɨ́nə́,mbɨ́nə́,mbɨ́nə́,mbɨ́nə́,mbɨ́nə́
"Salt ",mbɨ́nə́wú,mbɨ́nə́,mbɨ́nə́,mbɨ́nə́,mbɨ́nə́,mbɨ́nə́
"Oil ",ŋkómǔ,ŋkó,ŋkwó,áŋkó,áŋkó,áŋkǒ
"Oil ",ŋkómǔ,ŋkó,ŋkwó,áŋkó,áŋkó,áŋkǒ
Orange,àlèmǔ,òlèmó,òlèmó,lèmə́,òlèmə́,òlèmə́
"Oranges ",bàlèmə́,bàlèmə́,bàlèmə́,bàlèmə́wû,bàlèmə́,bàlɛ̀mə́
Banana,kíwúmkí,kíwúm,kíwúm,kíwúm,kíwúm,kíwúm
"Bananas  ",bíwúmkí,bíwúm,bíwúm,bíwúmbǐ,bíwúm,bíwúm
"Sugar cane",ìdzàŋtɛ́lə́,ídzáŋ,ídzáŋté,kízáŋté,ízáŋté,záŋté
"Sugar canes ",kízáŋté,kízáŋté,kízáŋté,kízáŋtéké,kízáŋté,kízáŋté
"Basket ",ìkì,ìkǐ,ìkǐ,ìkì,ìkǐ,ìkǐ
"Baskets ",kíkílə̂,kíkílə̂,kíkílə̂,íkílíkî,kíkílə̂,kíkílə̂
